county,service_area,name
Kings County,KENSINGTON/OCEAN PARKWAY,Ocean Parkway Community Development Corp.
Kings County,CLINTON HILL/FORT GREENE,Pratt Area Community Council
Kings County,BUSHWICK,"Ridgewood Bushwick Senior Citizens Council, Inc."
Kings County,CENTRAL WILLIAMSBURG/GREEN POINT,St. Nicks Alliance Corp.
New York County,EAST HARLEM AND EL BARRIO,"116 Street Block Association, Inc."
New York County,CLINTON,Clinton Housing Development Co. Inc.
New York County,WASHINGTON HEIGHTS,Community League Of The Heights
New York County,LOWER EAST SIDE,"Cooper Square Cd Committee & Businessmen'S Association, Inc."
New York County,CHINATOWN/LOWER EASTSIDE,Downtown Manhattan Community Development Corp.
New York County,WEST AND CENTRAL HARLEM,Ecumenical Community Development Organization
New York County,EAST HARLEM/EL BARRIO,El Barrio'S Operation Fight-Back
New York County,LOWER EAST SIDE,"Good Old Lower East Side, Inc."
New York County,EAST HARLEM,Hellgate Management Corp.
New York County,EAST HARLEM/EL BARRIO,"Hope Community, Inc."
New York County,CLINTON,"Housing Conservation Coordinators, Inc."
New York County,LOWER EAST SIDE,"Lower East Side Coalition Housing Development, Inc."
New York County,MANHATTAN VALLEY,Manhattan Valley Development Corporation
New York County,LOWER EAST SIDE,"Mfy Legal Services, Inc."
New York County,WASHINGTON HEIGHTS/INWOOD,Northern Manhattan Improvement Corp.
New York County,EAST HARLEM,Nuevo El Barrio Para La Rehab De La Vivienda Y La Economia
New York County,MANHATTAN VALLEY/CENTRAL AND EAST HARLEM,"Sinergia, Inc."
New York County,UPPER WEST SIDE,Strycker'S Bay Neighborhood Council
New York County,LOWER EASTSIDE,"United Jewish Council Of The East Side, Inc."
New York County,WASHINGTON HEIGHTS/INWOOD,Washington Heights Inwood Preservation And Restoration Corp.
New York County,WEST HARLEM/HAMILTON HEIGHTS,"West Harlem Group Assistance, Inc."
New York County,UPPER WESTSIDE,"West Side Federation For Senior And Supportive Housing, Inc."
New York County,HAMILTON HEIGHTS,"Wilson Major Morris Community Center, Inc."
Queens County,JAMAICA,Allen Ame Neighborhood Preservation And Development Corp.
Queens County,DITMARS/ASTORIA,"Astoria Restoration Association, Inc."
Queens County,CENTRAL ASTORIA,"Central Astoria Local Development Coalition, Inc."
Queens County,FAR ROCKAWAY,Jewish Community Council Of The Rockaway Peninsula
Queens County,FAR ROCKAWAY/EDGEMERE,Margert Community Corp.
Queens County,"CORONA, ELMHURST, & JACKSON HEIGHTS",Neighborhood Housing Services Of Northern Queens
Queens County,JAMAICA,"Nhs Of Jamaica, Inc."
Queens County,ASTORIA,Northwest Queens Housing Corp.
Queens County,"FOREST HILLS, REGO PARK, CORONA & ELMHURST","Queens Community House, Inc."
Queens County,ROCKAWAY PENINSULA AND BROAD CHANNEL,Rockaway Development & Revitalization Corp.
Queens County,RIDGEWOOD/MASPETH/GLENDALE/MIDDLE VILLAGE,The Greater Ridgewood Restoration Corporation
Queens County,WOODSIDE,"Woodside On The Move, Inc."
Richmond County,WEST BRIGHTON,"Nhs Of Staten Island, Inc."
Richmond County,PORT RICHMOND,Northfield Community Local Development Corporation
Richmond County,NORTH SHORE,"Richmond Senior Services, Inc."
Rockland County,VILLAGES IN ROCKLAND COUNTY,"Rcdc Housing, Inc."
Rockland County,MONSEY,"Rockland County Development Council, Inc."
Westchester County,PORT CHESTER,Human Development Services Of Westchester
Westchester County,OSSINING'S INNER VILLAGE,"Interfaith Council For Action, Inc."
Westchester County,SOUTH MOUNT VERNON,Mount Vernon United Tenants
Westchester County,NORTHWEST YONKERS,North Yonkers Preservation & Development Corp.
Westchester County,CITY OF PEEKSKILL,"The Preservation Company, Inc."
Westchester County,SOUNDSHORE AREA OF MAMARONECK & MAMARONECK CENTRAL BUSINESS DISTRICT,"Washingtonville Housing Alliance, Inc."
Westchester County,SOUTHWEST YONKERS,"Westhab In Yonkers, Inc."
